houseguid,mun_obr,lat,lon,exploitation_start_year,total_ppl,total_flats_count,vacant_flats_count,vacant_flats_share
0459b0df-f95e-4f39-b7ed-b5f339c35325,район Вешняки,55.71753805,37.83023592593271,1971.0,235,144,32.0,0.2222222222222222
0461e68f-8b6d-4c42-a50e-25bb7c57c615,Головинский район,55.84738055,37.478163599999995,1966.0,428,199,10.0,0.05025125628140704
04669877-990c-44a4-9bb8-70c8bb43f250,район Капотня,55.635648950000004,37.79237465,1991.0,252,143,15.0,0.1048951048951049
04679ed1-6885-40cd-afb5-d8e4c704104e,район Коньково,55.6345704,37.530679795372755,2001.0,416,173,16.0,0.09248554913294797
046ca3c0-fd4c-4b73-baf6-f17054b9d9c1,район Тропарёво-Никулино,55.66706925,37.49141618945313,1972.0,263,136,24.0,0.17647058823529413
046d1114-9d14-45a0-9972-607e5bb6596f,Тверской район,55.7685036,37.60092402647851,1934.0,89,47,14.0,0.2978723404255319
046e3c32-f91b-4375-bdee-12d70837a2c3,район Зюзино,55.6607219,37.57987898320306,1965.0,155,84,19.0,0.2261904761904762
04843151-79a0-4c13-a238-73ab3bb1d7a3,Тимирязевский район,55.82312865,37.57013063546296,1967.0,142,84,25.0,0.2976190476190476
048c20dd-5c32-42ca-ab59-805b938fb02a,Нижегородский район,55.73591965,37.75171235880166,1958.0,408,172,7.0,0.040697674418604654
048c8754-987b-43c1-90b0-c39a5c5563b5,Таганский район,55.748590750000005,37.65662129465161,1902.0,65,32,4.0,0.125
0493a2b1-fd8e-4388-ab6b-47dc735b3404,Донской район,55.7190732,37.603932048678374,1959.0,305,118,8.0,0.06779661016949153
049c57bf-6f16-4b62-9671-5d37fabb1cbc,район Кунцево,55.7345452,37.4378311537333,1976.0,295,115,5.0,0.043478260869565216
04a0b2cc-c8e9-4629-beb8-2db5f50289af,район Северное Измайлово,55.80416765,37.81404835,1966.0,143,96,11.0,0.11458333333333333
04af5535-4a86-4e5c-b5d1-9973e365a3d6,поселение Московский,55.594428199999996,37.36617641232014,2012.0,194,182,100.0,0.5494505494505495
04b84a1c-69e3-4af5-9f0b-827d3684d30f,район Очаково-Матвеевское,55.508215,37.2200714,1971.0,161,80,12.0,0.15
04b8b5fb-35e5-4239-9bec-df9ae3ab1cae,район Зюзино,55.6630636,37.611210699999994,1981.0,390,183,24.0,0.13114754098360656
04b979d8-56b0-4cec-8b14-f93c7f019bfb,район Покровское-Стрешнево,55.83199565,37.447781260392354,1978.0,160,74,9.0,0.12162162162162163
04fd613d-072d-4630-9d6b-5cff46b6d5ee,Лосиноостровский район,55.8679504,37.68765858116048,1963.0,118,72,4.0,0.05555555555555555
04fdeb12-8d3b-409b-b8e9-b9a06ababa82,район Чертаново Северное,55.63991965,37.59938648901686,1979.0,188,81,1.0,0.012345679012345678
0500f74b-d826-4caf-885b-f1fe8824b620,район Свиблово,55.85579955,37.63849768412489,1963.0,126,72,2.0,0.027777777777777776
