house_id,houseguid,exploitation_start_year,living_quarters_count,address,lat,lon,mun_obr,total_ppl,house_ppf,theoretical_non_vacant_flats,vacant_flats_count,vacant_flats_share
7675633,2c7bf028-1bf2-465f-8da6-a8838484cd4a,1971.0,143.0,"г. Москва, ул. 26-ти Бакинских Комиссаров, д. 6, к. 2",55.659292300000004,37.49238655,район Тропарёво-Никулино,284.0,3.639277263301552,78.03747267729617,65.0,0.45454545454545453
7676381,4b56fc70-cacc-4c43-b2a5-dbd47f6c8fd7,1970.0,108.0,"г. Москва, ул. 26-ти Бакинских Комиссаров, д. 7, к. 1",55.6595382,37.4858806,район Тропарёво-Никулино,177.0,3.369899930269789,52.5238148498462,55.0,0.5092592592592593
7676392,0fe24027-644a-4305-b868-d06de3841f4a,1970.0,108.0,"г. Москва, ул. 26-ти Бакинских Комиссаров, д. 7, к. 2",55.65889185,37.48580436617124,район Тропарёво-Никулино,223.0,3.369899930269789,66.17407181647289,42.0,0.3888888888888889
7676398,871f2fb9-bb69-407c-83af-c250404b5da0,1970.0,108.0,"г. Москва, ул. 26-ти Бакинских Комиссаров, д. 7, к. 3",55.658098550000005,37.4854725,район Тропарёво-Никулино,198.0,3.369899930269789,58.75545389982795,49.0,0.4537037037037037
7676407,edbad311-06ed-4c11-a807-b93a5e35559d,1970.0,100.0,"г. Москва, ул. 26-ти Бакинских Комиссаров, д. 7, к. 4",55.657368399999996,37.485342200000005,район Тропарёво-Никулино,193.0,3.3569463395261674,57.49272716323548,43.0,0.43
7676423,24de94f9-e45a-4535-813a-7d7dc49c4dd8,1978.0,160.0,"г. Москва, ул. 26-ти Бакинских Комиссаров, д. 7, к. 6",55.6553086,37.48475372170772,район Тропарёво-Никулино,381.0,3.6658383343099556,103.93257019385665,56.0,0.35
7676431,22cee985-a95d-43fe-99b1-e007c60650a1,1972.0,95.0,"г. Москва, ул. 26-ти Бакинских Комиссаров, д. 8, к. 1",55.658799900000005,37.49019117318099,район Тропарёво-Никулино,184.0,3.623490731005058,50.77976284734786,44.0,0.4631578947368421
7676439,cc66c8d0-3dff-4c83-a5a4-c4463f55dd50,1970.0,249.0,"г. Москва, ул. 26-ти Бакинских Комиссаров, д. 8, к. 3",55.66012375,37.4912839753418,район Тропарёво-Никулино,559.0,3.601392087965958,155.2177564525387,94.0,0.37751004016064255
7631529,14e3b3b0-a6cf-48ec-99e7-7356a0c26ede,1970.0,108.0,"г. Москва, ул. 26-ти Бакинских Комиссаров, д. 8, к. 4",55.6612436,37.49195000682599,район Тропарёво-Никулино,203.0,3.3656252630020185,60.31568702302026,48.0,0.4444444444444444
7676465,40015ea3-d46c-4df3-9a88-56c964d725ea,1972.0,79.0,"г. Москва, ул. 26-ти Бакинских Комиссаров, д. 8, к. 5",55.6607172,37.4930348440962,район Тропарёво-Никулино,197.0,3.5357848058766437,55.71606045497355,23.0,0.2911392405063291
8083982,4c791f47-8270-4fad-8f1f-3e56c80e77b1,1972.0,79.0,"г. Москва, ул. 26-ти Бакинских Комиссаров, д. 8, к. 6",55.661212500000005,37.49359805,район Тропарёво-Никулино,127.0,3.5189165514364524,36.09065408162564,43.0,0.5443037974683544
9077276,b3f135bc-d387-40ac-8037-1bc68c7d72ab,1975.0,147.0,"г. Москва, ул. 26-ти Бакинских Комиссаров, д. 9",55.656747,37.4930546,район Тропарёво-Никулино,1.0,3.9985369385683405,0.25009147479779087,147.0,1.0
7676477,a3fa80e3-9457-47f8-be73-fa7f73e3924e,1979.0,110.0,"г. Москва, ул. 26-ти Бакинских Комиссаров, д. 10",55.6600572,37.49037208000928,район Тропарёво-Никулино,237.0,3.060354946189326,77.44199746996871,33.0,0.3
7676483,0643bd0a-1c97-4f97-904b-9960afd1bc8c,1970.0,139.0,"г. Москва, ул. 26-ти Бакинских Комиссаров, д. 10, к. 1",55.6597971,37.48893659317401,район Тропарёво-Никулино,307.0,3.635145157641527,84.45329875057337,55.0,0.39568345323741005
7676489,6dd16592-73fa-4002-9861-56d22c95176a,1972.0,98.0,"г. Москва, ул. 26-ти Бакинских Комиссаров, д. 10, к. 6",55.66190005,37.49267299013454,район Тропарёво-Никулино,176.0,2.8259661272325736,62.27958583932291,36.0,0.3673469387755102
7676511,816f6597-982c-422c-9e80-e8c43f686a62,1972.0,95.0,"г. Москва, ул. 26-ти Бакинских Комиссаров, д. 12, к. 1",55.66078400000001,37.487240650000004,район Тропарёво-Никулино,188.0,3.6646083563214273,51.30152576214621,44.0,0.4631578947368421
7676521,c08cbc60-f505-4c2a-8aa7-e5745fe6ca09,1970.0,251.0,"г. Москва, ул. 26-ти Бакинских Комиссаров, д. 12, к. 3",55.6613839,37.488626,район Тропарёво-Никулино,436.0,3.6010602469218465,121.0754528121791,130.0,0.5179282868525896
7676527,d24ce799-5c2a-46e3-9a11-6f29bf4c2780,1970.0,98.0,"г. Москва, ул. 26-ти Бакинских Комиссаров, д. 12, к. 4",55.66239655,37.48955135,район Тропарёво-Никулино,156.0,2.7926617937799594,55.86068472288901,42.0,0.42857142857142855
